 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1800.396         .000        -.001         .400        -.162     ×ó           .000        -.400         .000         .162         .000        -.001           0.           0.         .000
      1800.991         .000         .004         .600         .526     ×ó           .000        -.600         .000        -.526         .000         .004           0.           0.         .000
      1801.585         .001         .008         .600        1.089     ×ó           .000        -.600         .000       -1.089         .001         .008           0.           0.         .000
      1802.179         .002         .013         .864        1.300     ×ó           .000        -.864         .000       -1.300         .002         .013           0.           0.         .000
      1802.774         .002         .017        1.100         .482     ×ó           .000       -1.100         .000        -.482         .002         .017           0.           0.         .000
      1803.368         .003         .022        1.100        -.430     ×ó           .000       -1.100         .000         .430         .003         .022           0.           0.         .000
      1803.962         .003         .027         .910        -.900     ×ó           .000        -.910         .000         .900         .003         .027           0.           0.         .000
      1804.557         .480        -.452         .800        -.734     ×ó          -.476       -1.276        -.483         .252         .004         .031           0.           0.         .000
      1805.151         .464        -.552         .800        -.159     ×ó          -.460       -1.260        -.588        -.428         .004         .036           0.           0.         .000
      1805.745        -.594         .467         .784         .200     ×ó           .599        -.185         .426         .226         .005         .040           0.           0.         .000
      1806.340        -.445         .252         .409         .000     ×ó           .451         .042         .208         .208         .006         .045           0.           0.         .000
      1806.934        -.291        -.349        -.167        -.734     ×ó           .297         .464        -.398         .335         .006         .049           0.           0.         .000
