 
 ~~~~~~~~~~~~~~~~~~~ жПуМх╚ф╚╡Н ~~~~~~~~~~~~~~~~~~~~
         юОЁл/m  ╣Вг╟╦ъЁл/mm  ╣Вг╟ф╫цФ/mm  ╣Вг╟к╝ф╫/mm  ╣Вг╟╧Л╬Ю/mm  ╣╪оР╧Л  ╣ВвС╧Л╦ъ/mm  ╣Вср╧Л╦ъ/mm  ╣ВвСф╫цФ/mm  ╣Всрф╫цФ/mm   ╣В╨С╦ъЁл/mm  ╣В╨Сф╫цФ/mm  ╣В╨Ск╝ф╫/mm  ╣В╨С╧Л╬Ю/mm  иХ╪фЁ╛╦ъ/mm
      1863.350         .000         .000        1.492        1.734     ср          1.492         .000        1.734         .000         .000         .000           0.           0.         .000
      1863.947        -.001        -.002        2.200         .231     ср          2.200         .000         .231         .000        -.001        -.002           0.           0.         .000
      1864.544        -.002        -.004        2.300        -.800     ср          2.300         .000        -.800         .000        -.002        -.004           0.           0.         .000
      1865.140        -.003        -.006        2.200        -.800     ср          2.200         .000        -.800         .000        -.003        -.006           0.           0.         .000
      1865.737        -.004        -.008        1.898        -.598     ср          1.898         .000        -.598         .000        -.004        -.008           0.           0.         .000
      1866.334        -.005        -.010        1.520        -.220     ср          1.520         .000        -.220         .000        -.005        -.010           0.           0.         .000
      1866.931        -.006        -.012        1.142        -.242     ср          1.142         .000        -.242         .000        -.006        -.012           0.           0.         .000
      1867.528        1.590       -1.006        1.000        -.600     ср          -.597       -1.597       -1.592        -.992        -.007        -.014           0.           0.         .000
      1868.125       -1.632        -.093         .887        -.800     ср          2.510        1.623        -.877        -.077        -.008        -.016           0.           0.         .000
      1868.722       -1.202        -.647         .609        -.800     ср          1.802        1.193       -1.429        -.629        -.010        -.018           0.           0.         .000
      1869.319        -.658       -1.726         .331        -.600     ср           .978         .647       -2.307       -1.707        -.011        -.019           0.           0.         .000
      1869.916         .133       -2.129         .200        -.453     ср           .055        -.145       -2.561       -2.108        -.012        -.021           0.           0.         .000
      1870.513        1.119       -2.187         .100        -.276     ср         -1.032       -1.132       -2.440       -2.164        -.013        -.023           0.           0.         .000
      1871.110        2.181       -2.158         .200        -.200     ср         -1.995       -2.195       -2.333       -2.133        -.014        -.025           0.           0.         .000
      1871.707        3.173       -1.941         .200        -.380     ср         -2.988       -3.188       -2.294       -1.914        -.015        -.027           0.           0.         .000
      1872.304        4.283       -2.310         .200        -.858     ср         -4.099       -4.299       -3.139       -2.281        -.016        -.029           0.           0.         .000
      1872.901        5.662       -3.068         .200       -1.100     ср         -5.479       -5.679       -4.137       -3.037        -.017        -.031           0.           0.         .000
      1873.498        5.673       -2.933         .100       -1.200     ср         -5.591       -5.691       -4.100       -2.900        -.018        -.033           0.           0.         .000
      1874.095        5.417       -2.454        -.091       -1.100     ср         -5.527       -5.436       -3.519       -2.419        -.019        -.035           0.           0.         .000
      1874.692        5.730       -1.984        -.200       -1.031     ср         -5.950       -5.750       -2.979       -1.948        -.020        -.037           0.           0.         .000
      1875.289        5.883       -1.548        -.200        -.854     ср         -6.104       -5.904       -2.364       -1.510        -.021        -.038           0.           0.         .000
      1875.886        6.123       -1.071        -.100        -.600     ср         -6.245       -6.145       -1.630       -1.030        -.022        -.040           0.           0.         .000
      1876.483        6.402        -.671         .000        -.200     ср         -6.425       -6.425        -.829        -.629        -.023        -.042           0.           0.         .000
      1877.080        6.593        -.429         .100         .179     ср         -6.517       -6.617        -.205        -.384        -.024        -.044           0.           0.         .000
      1877.676        6.623        -.204         .300         .400     ср         -6.348       -6.648         .242        -.158        -.025        -.046           0.           0.         .000
      1878.273        6.639        -.457         .435         .200     ср         -6.231       -6.665        -.209        -.409        -.026        -.048           0.           0.         .000
      1878.870        6.524        -.844         .700        -.213     ср         -5.851       -6.551       -1.006        -.794        -.027        -.050           0.           0.         .000
      1879.467        6.141       -1.402         .900        -.600     ср         -5.269       -6.169       -1.951       -1.351        -.028        -.052           0.           0.         .000
      1880.064        5.777       -2.230        1.000        -.600     ср         -4.806       -5.806       -2.776       -2.177        -.029        -.054           0.           0.         .000
